"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","Vérification du tableau de bord (Home)","chromium","Fri Apr 04 13:16:10 CEST 2025","passed","Fri Apr 04 13:16:10 CEST 2025","Tests E2E - Application Angular","app.spec.ts","",""
"","401","Vérification du tableau de bord (Home)","firefox","Fri Apr 04 13:16:11 CEST 2025","passed","Fri Apr 04 13:16:12 CEST 2025","Tests E2E - Application Angular","app.spec.ts","",""
"","454","Test de connexion","chromium","Fri Apr 04 13:16:09 CEST 2025","passed","Fri Apr 04 13:16:09 CEST 2025","","login.spec.ts","",""
"","1382","Connexion avec un utilisateur valide","firefox","Fri Apr 04 13:16:09 CEST 2025","passed","Fri Apr 04 13:16:10 CEST 2025","Tests E2E - Application Angular","app.spec.ts","",""
"","440","Connexion avec un utilisateur valide","chromium","Fri Apr 04 13:16:09 CEST 2025","passed","Fri Apr 04 13:16:09 CEST 2025","Tests E2E - Application Angular","app.spec.ts","",""
"","1229","Test de connexion","firefox","Fri Apr 04 13:16:09 CEST 2025","passed","Fri Apr 04 13:16:10 CEST 2025","","login.spec.ts","",""
